oi_id,quantity,datetime,product_name,product_price
276,1,2019-08-01 13:33:00,Cauliflower Bhajee,5.95
277,1,2019-08-01 13:33:00,Dhansak - Chicken,8.95
278,2,2019-08-01 13:33:00,Tarka Dall,5.95
279,1,2019-08-01 13:33:00,Saag Dall,5.95
280,2,2019-08-01 12:33:00,Vindaloo - Chicken,7.95
281,1,2019-08-01 12:33:00,Special Fried Rice,3.95
282,1,2019-08-01 12:33:00,Plain Naan,2.6
283,1,2019-08-01 12:33:00,Bombay Aloo,5.95
284,1,2019-07-31 21:10:00,Lamb Biryani,9.95
285,1,2019-07-31 21:10:00,Chicken Biryani,9.95
286,1,2019-07-31 21:10:00,Bombay Aloo,5.95
287,1,2019-07-31 21:10:00,Peshwari Naan,2.95
288,1,2019-07-31 20:35:00,Dhansak - Lamb,8.95
289,1,2019-07-31 20:35:00,Korma - Chicken,8.95
290,1,2019-07-31 20:35:00,Plain Naan,2.6
291,1,2019-07-31 20:35:00,Pilau Rice,2.95
292,2,2019-07-31 20:11:00,Pilau Rice,2.95
293,2,2019-07-31 20:11:00,Chicken Tikka Masala,8.95
294,1,2019-07-31 20:11:00,Madras - Chicken Tikka,7.95
295,2,2019-07-31 20:11:00,Onion Bhajee,3.95
296,1,2019-07-31 20:05:00,Chicken Tikka Jalfrezi,8.95
297,1,2019-07-31 20:05:00,Pilau Rice,2.95
298,1,2019-07-31 20:05:00,Plain Naan,2.6
299,1,2019-07-31 20:05:00,Green Salad,2.95
300,1,2019-07-31 19:54:00,Sheek Kebab,4.95
301,1,2019-07-31 19:54:00,Vegetable Biryani,9.95
302,1,2019-07-31 19:54:00,Aloo Chaat,4.95
303,1,2019-07-31 19:54:00,Madras - King Prawn,11.95
304,2,2019-07-31 19:54:00,Pilau Rice,2.95
305,1,2019-07-31 19:54:00,Butter Chicken,9.95
306,1,2019-07-31 19:54:00,Plain Papadum,0.8
307,1,2019-07-31 19:35:00,Chicken Tikka Masala,8.95
308,5,2019-07-31 19:35:00,Plain Naan,2.6
309,1,2019-07-31 19:35:00,Rogon - Chicken,8.95
310,1,2019-07-31 19:35:00,Chicken Tikka (Main),8.95
311,2,2019-07-31 19:35:00,Madras - Chicken Tikka,7.95
312,1,2019-07-31 19:35:00,Garlic Naan,2.95
313,1,2019-07-31 19:35:00,Bombay Aloo,5.95
314,1,2019-07-31 19:35:00,Saag Aloo,5.95
315,1,2019-07-31 19:35:00,French Fries,3.95
316,2,2019-07-31 19:35:00,Pilau Rice,2.95
317,3,2019-07-31 19:35:00,Onion Bhajee,3.95
318,4,2019-07-31 19:31:00,Plain Papadum,0.8
319,1,2019-07-31 19:31:00,Mint Sauce,0.5
320,1,2019-07-31 19:31:00,Chicken Tikka Karahi,9.95
321,1,2019-07-31 19:31:00,Mushroom Bhajee,5.95
322,2,2019-07-31 19:31:00,Plain Rice,2.95
323,1,2019-07-31 19:17:00,Chicken Tikka,3.95
324,1,2019-07-31 19:17:00,Royal Paneer,5.95
325,1,2019-07-31 19:17:00,Garlic Naan,2.95
326,1,2019-07-31 19:17:00,Bottle Diet Coke,2.95
327,1,2019-07-31 19:05:00,Korma - Chicken,8.95
328,1,2019-07-31 19:05:00,Peshwari Naan,2.95
329,1,2019-07-31 19:05:00,Lemon Rice,3.95
330,1,2019-07-31 19:05:00,Mushroom Rice,3.95
331,1,2019-07-31 19:05:00,Lamb Sylhet,9.95
332,2,2019-07-31 19:02:00,Spicy Papadum,0.8
333,1,2019-07-31 19:02:00,Red Sauce,0.5
334,1,2019-07-31 19:02:00,Plain Rice,2.95
335,1,2019-07-31 19:02:00,Dupiaza - Chicken Tikka,8.95
336,1,2019-07-31 19:02:00,Chapati,1.95
337,1,2019-07-31 18:58:00,Saag - Chicken,8.95
338,1,2019-07-31 18:58:00,Saag Paneer,5.95
339,1,2019-07-31 18:58:00,Saag Rice,3.95
340,1,2019-07-31 18:50:00,Sheek Kebab,4.95
341,3,2019-07-31 18:50:00,Plain Papadum,0.8
342,1,2019-07-31 18:50:00,Lamb Tikka Masala,8.95
343,1,2019-07-31 18:50:00,Pilau Rice,2.95
344,1,2019-07-31 18:50:00,Keema Naan,2.95
345,1,2019-07-31 18:50:00,French Fries,3.95
346,1,2019-07-31 17:16:00,Keema Rice,3.95
