id,datetime,name,quantity,price
368,2019-07-30 18:43:00,Tarka Dall,1,5.95
369,2019-07-30 18:43:00,Saag Paneer,1,5.95
370,2019-07-30 18:43:00,Baingan Hari Mirch,1,5.95
371,2019-07-30 18:38:00,Madras - Chicken,1,7.95
372,2019-07-30 18:38:00,Lemon Rice,1,3.95
373,2019-07-30 18:38:00,Spicy Papadum,1,0.8
374,2019-07-30 18:38:00,French Fries,1,3.95
375,2019-07-30 18:33:00,Mint Sauce,1,0.5
376,2019-07-30 18:33:00,Lime Pickle,1,0.5
377,2019-07-30 18:01:00,Mango Chutney,2,0.5
378,2019-07-30 17:35:00,Red Sauce,1,0.5
379,2019-07-30 17:00:00,Onion Chutney,1,0.5
380,2019-07-30 17:00:00,Red Sauce,1,0.5
381,2019-07-29 22:21:00,Red Sauce,1,0.5
382,2019-07-29 20:03:00,Mango Chutney,1,0.5
383,2019-07-29 17:20:00,Mint Sauce,1,0.5
384,2019-07-28 20:00:00,Mango Chutney,1,0.5
385,2019-07-28 20:00:00,Mint Sauce,1,0.5
386,2019-07-28 20:00:00,Onion Chutney,1,0.5
387,2019-07-28 19:29:00,Onion Chutney,1,0.5
388,2019-07-28 19:29:00,Mango Chutney,1,0.5
389,2019-07-28 19:29:00,Mint Sauce,1,0.5
390,2019-07-28 17:58:00,Mango Chutney,1,0.5
391,2019-07-28 17:58:00,Mint Sauce,1,0.5
392,2019-07-28 17:41:00,Mango Chutney,1,0.5
393,2019-07-28 17:10:00,Mango Chutney,1,0.5
394,2019-07-27 20:28:00,Mango Chutney,1,0.5
395,2019-07-27 20:28:00,Mint Sauce,1,0.5
396,2019-07-27 19:49:00,Mango Chutney,2,0.5
397,2019-07-27 19:49:00,Lime Pickle,1,0.5
398,2019-07-27 19:36:00,Mango Chutney,1,0.5
399,2019-07-27 19:35:00,Mint Sauce,1,0.5
400,2019-07-27 19:35:00,Red Sauce,1,0.5
401,2019-07-27 19:35:00,Mint Sauce,1,0.5
402,2019-07-27 19:35:00,Mango Chutney,1,0.5
403,2019-07-27 19:23:00,Mint Sauce,2,0.5
404,2019-07-27 18:56:00,Mango Chutney,1,0.5
405,2019-07-27 18:56:00,Mint Sauce,1,0.5
406,2019-07-27 18:18:00,Mango Chutney,1,0.5
407,2019-07-27 18:11:00,Mango Chutney,1,0.5
408,2019-07-27 18:01:00,Mint Sauce,1,0.5
409,2019-07-27 18:01:00,Mango Chutney,1,0.5
410,2019-07-27 16:55:00,Onion Chutney,2,0.5
411,2019-07-27 16:55:00,Red Sauce,2,0.5
412,2019-07-27 16:55:00,Mint Sauce,2,0.5
413,2019-07-27 16:55:00,Mango Chutney,1,0.5
414,2019-07-27 16:55:00,Lime Pickle,1,0.5
415,2019-07-26 20:42:00,Mint Sauce,1,0.5
416,2019-07-26 19:51:00,Mango Chutney,1,0.5
417,2019-07-26 19:42:00,Mango Chutney,1,0.5
418,2019-07-26 19:42:00,Red Sauce,1,0.5
419,2019-07-26 19:42:00,Red Sauce,1,0.5
420,2019-07-26 19:42:00,Mango Chutney,1,0.5
421,2019-07-26 19:42:00,Mint Sauce,1,0.5
422,2019-07-26 19:33:00,Red Sauce,1,0.5
423,2019-07-26 19:33:00,Mango Chutney,1,0.5
424,2019-07-26 19:33:00,Mint Sauce,1,0.5
425,2019-07-26 19:12:00,Mint Sauce,1,0.5
426,2019-07-26 19:12:00,Red Sauce,1,0.5
427,2019-07-26 18:32:00,Mango Chutney,1,0.5
428,2019-07-26 18:14:00,Mango Chutney,1,0.5
429,2019-07-26 18:14:00,Lime Pickle,1,0.5
430,2019-07-26 17:56:00,Mango Chutney,1,0.5
431,2019-07-26 17:46:00,Mint Sauce,2,0.5
432,2019-07-26 17:46:00,Onion Chutney,1,0.5
433,2019-07-26 17:46:00,Red Sauce,1,0.5
434,2019-07-26 17:46:00,Lime Pickle,1,0.5
435,2019-07-25 19:51:00,Onion Chutney,1,0.5
436,2019-07-25 19:51:00,Red Sauce,1,0.5
437,2019-07-25 19:50:00,Mango Chutney,2,0.5
438,2019-07-25 19:11:00,Mint Sauce,1,0.5
439,2019-07-25 19:11:00,Mango Chutney,1,0.5
440,2019-07-25 17:23:00,Lime Pickle,1,0.5
441,2019-07-24 23:08:00,Mango Chutney,1,0.5
442,2019-07-24 23:08:00,Mint Sauce,1,0.5
443,2019-07-24 23:08:00,Onion Chutney,1,0.5
444,2019-07-23 21:30:00,Mint Sauce,1,0.5
445,2019-07-23 19:54:00,Mango Chutney,2,0.5
446,2019-07-23 19:26:00,Red Sauce,1,0.5
447,2019-07-23 19:26:00,Mint Sauce,1,0.5
448,2019-07-22 20:14:00,Onion Chutney,1,0.5
449,2019-07-22 20:14:00,Mint Sauce,1,0.5
450,2019-07-22 20:14:00,Red Sauce,1,0.5
451,2019-07-21 18:55:00,Mango Chutney,2,0.5
452,2019-07-21 18:55:00,Mint Sauce,1,0.5
453,2019-07-21 18:47:00,Mango Chutney,1,0.5
454,2019-07-21 17:26:00,Onion Chutney,1,0.5
455,2019-07-21 14:36:00,Lime Pickle,1,0.5
456,2019-07-20 21:17:00,Red Sauce,1,0.5
457,2019-07-20 20:15:00,Mango Chutney,1,0.5
458,2019-07-20 19:47:00,Mango Chutney,1,0.5
459,2019-07-20 19:47:00,Mint Sauce,1,0.5
460,2019-07-20 19:04:00,Mint Sauce,1,0.5
461,2019-07-20 19:04:00,Onion Chutney,1,0.5
462,2019-07-20 19:04:00,Mint Sauce,1,0.5
463,2019-07-20 19:04:00,Onion Chutney,1,0.5
464,2019-07-20 18:58:00,Mango Chutney,1,0.5
465,2019-07-20 18:45:00,Mango Chutney,2,0.5
466,2019-07-20 18:41:00,Mango Chutney,1,0.5
